,cluster_id,product_id,product_name,brand,link,listed_price
165,299.0,413485,Almendra Natural Pelada 150 g,-,https://www.devoto.com.uy/almendra-natural-pelada-pt-150-g-413485/p,249.0
166,299.0,421207,Nueces Peladas MARIPOSA 200 g,-,https://www.devoto.com.uy/nueces-peladas-mariposa-200-g-421207/p,349.0
167,299.0,667100,Castañas de cajú sin sal De la Tierra 140 g,DE LA TIERRA,https://www.devoto.com.uy/castanas-de-caju-sin-sal-de-la-tierra-140-g-667100/p,383.0
168,299.0,510221,Avena laminada LA ABUNDANCIA 400 g,LA ABUNDANCIA,https://www.devoto.com.uy/avena-laminada-la-abundancia-400-g-510221/p,89.0
169,299.0,225420,Manteca PRECIO LÍDER 200 g,PRECIO LÍDER,https://www.devoto.com.uy/manteca-precio-lider-200-g-225420/p,93.0
170,299.0,666992,Azúcar blanca PRECIO LÍDER 1 kg,PRECIO LÍDER,https://www.devoto.com.uy/azucar-blanca-precio-lider-1-kg-666992/p,48.0
171,300.0,481305,Batidor antiadherente,-,https://www.devoto.com.uy/batidor-antiadherente-481305/p,449.0
172,300.0,551160,Sartén turim antiadherente TRAMONTINA 13 cm,TRAMONTINA,https://www.devoto.com.uy/sarten-13-cm-turim-antiadherente-tramontina---551160/p,229.0
173,300.0,638096,Repasador felpudo 37x52 cm ajedrez blanco/rojo,-,https://www.devoto.com.uy/repasador-felpudo-37x52-cm-ajedrez-blanco-rojo-638096/p,79.0
174,300.0,746265,Sartén antiadherente 24 cm clásico ILKO,ILKO,https://www.devoto.com.uy/sarten-antiadherente-24-cm-clasico-ilko-746265/p,699.0
175,300.0,783754,Bowl mixing 24cm acero,-,https://www.devoto.com.uy/bowl-mixing-24cm-acero-783754/p,199.0
176,300.0,407384,Bowl melamina 600 ml,-,https://www.devoto.com.uy/bowl-melamina-600-ml-407384/p,49.0
177,300.0,641649,Tenedor de madera,-,https://www.devoto.com.uy/tenedor-de-madera-641649/p,25.0
178,301.0,421901,Nueces Pecan Peladas MARIPOSA 200 g,-,https://www.devoto.com.uy/nueces-pecan-peladas-mariposa-pt-200g-421901/p,389.0
179,301.0,421900,Nueces Pecan Peladas MARIPOSA 100 g,-,https://www.devoto.com.uy/nueces-pecan-peladas-mariposa-pt-100g-421900/p,219.0
180,301.0,752791,Polvo Hornear Royal 100 g,ROYAL,https://www.devoto.com.uy/polvo-hornear-royal-sb-100-g-752791/p,65.0
181,301.0,225420,Manteca PRECIO LÍDER 200 g,PRECIO LÍDER,https://www.devoto.com.uy/manteca-precio-lider-200-g-225420/p,93.0
182,301.0,443185,Huevo color PRODHIN especial 6 un.,PRODHIN,https://www.devoto.com.uy/huevo-color-especial-prodhin-cj-6-un-443185/p,124.0
183,301.0,666992,Azúcar blanca PRECIO LÍDER 1 kg,PRECIO LÍDER,https://www.devoto.com.uy/azucar-blanca-precio-lider-1-kg-666992/p,48.0
184,301.0,240517,Leche ultra CONAPROLE entera 1 L,CONAPROLE,https://www.devoto.com.uy/leche-ultra-entera-conaprole-sachet-1-l-240517/p,46.0
185,302.0,551160,Sartén turim antiadherente TRAMONTINA 13 cm,TRAMONTINA,https://www.devoto.com.uy/sarten-13-cm-turim-antiadherente-tramontina---551160/p,229.0
186,302.0,481305,Batidor antiadherente,-,https://www.devoto.com.uy/batidor-antiadherente-481305/p,449.0
187,302.0,585038,Panetera KASSEL Mod. KS-PM 16 Programas,KASSEL,https://www.devoto.com.uy/panetera-kassel-ks-pm16-programas-585038/p,3289.5
188,302.0,783755,Bowl mixing 28cm acero mate,-,https://www.devoto.com.uy/bowl-mixing-28cm-acero-mate-783755/p,299.0
189,302.0,447893,"Budinera antiadherente 25,5x13x6cm",-,https://www.devoto.com.uy/budinera-antiadherente-25-5x13x6-cm-447893/p,309.0
190,302.0,324796,Batidora planetaria OSTER Mod. OS-BAT3711,OSTER,https://www.devoto.com.uy/batidora-planetaria-oster-mod--os-bat3711-750-w-324796/p,11377.8
191,303.0,270720,Queso camembert PRÉSIDENT 125 g,PRÉSIDENT,https://www.devoto.com.uy/queso-camembert-president-cj-125-g-270720/p,329.0
192,303.0,421901,Nueces Pecan Peladas MARIPOSA 200 g,-,https://www.devoto.com.uy/nueces-pecan-peladas-mariposa-pt-200g-421901/p,389.0
